id,rmse,psnr,compression_rate
0,0.0,inf,2.566711805784668
0,1.0313516683890558,96.06133056595915,21.82753927958939
0,0.33041682429588504,105.9482230194786,5.461949896499712
1,0.0,inf,1.5213577019903812
1,1.484050248101084,92.90049395801381,11.929145661246677
1,0.7259670083565934,99.11112838345866,4.647764428649753
2,0.0,inf,1.331644524896225
2,1.613621065939722,92.17343497555318,8.753750017791333
2,0.7037215753091244,99.38144875110328,4.529436810728953
3,0.0,inf,2.176290723749977
3,0.8724998089780116,97.51415926433806,15.450585342562102
3,0.3105163933765101,106.4877754108166,5.1074035243566644
4,0.0,inf,1.3917236239048987
4,1.8039157100288497,91.20514125957435,11.229901541195005
4,0.9321567732951362,96.93968688292026,3.9667544072665324
