id,ssim,rmse,psnr,compression_rate
0,0.9696985220872189,3.1529397914256796,86.35515252461111,59.21329676058123
0,0.9696985220872189,3.1529397914256796,86.35515252461111,59.2083431716581
0,0.887520684252647,5.9267087263675,80.87319439618925,2132.5295871702756
1,0.9160265253309349,3.173293819150475,86.29926035893155,173.21682152065625
1,0.9160265253309349,3.173293819150475,86.29926035893155,173.1812669981118
1,0.8826431559018897,4.199956989590136,83.86456921629609,2998.1126753390786
2,0.9412744088161484,3.2050342515415036,86.21281257339712,110.56273356245592
2,0.9412744088161484,3.2050342515415036,86.21281257339712,110.54782466066106
2,0.8603261003690796,5.549903569845707,81.4437573297802,2156.974136668998
3,0.9744377846334352,2.7643436997354476,87.49762528954878,50.30297839245563
3,0.9744377846334352,2.7643436997354476,87.49762528954878,50.29849090437943
3,0.8545184506882167,5.882861147287095,80.93769411751245,785.8711859274177
4,0.9825432872790194,2.6288109189782563,87.93427907586691,95.00004068478047
4,0.9825432872790194,2.6288109189782563,87.93427907586691,94.98247044387665
4,0.9591721866487899,4.321044799508624,83.61769069548849,1721.1923509322698
